symbol_index,cur_rms,est_rms,gain_sym
1.400000000000000000e+02,4.763236173288574182e-01,4.552500545589419634e-01,1.098297507035804532e+00
1.410000000000000000e+02,4.672140682878175855e-01,4.569250164809844916e-01,1.094271449286708275e+00
1.420000000000000000e+02,4.535889570596021159e-01,4.564579681619909679e-01,1.095391109094532300e+00
1.430000000000000000e+02,4.548097732817029670e-01,4.562272208787506722e-01,1.095945128037159932e+00
1.440000000000000000e+02,4.528838908815580044e-01,4.557591546791437409e-01,1.097070667405467770e+00
1.450000000000000000e+02,4.600384672188055912e-01,4.563582584346964066e-01,1.095630441125343690e+00
1.460000000000000000e+02,4.634124413114389385e-01,4.573458440374403300e-01,1.093264553551005491e+00
1.470000000000000000e+02,4.488709238355145237e-01,4.561593552091707249e-01,1.096108178622635654e+00
1.480000000000000000e+02,4.624814587171821034e-01,4.570444497002922879e-01,1.093985498189237182e+00
1.490000000000000000e+02,4.513147061316053477e-01,4.562422856006761451e-01,1.095908940885901517e+00
1.500000000000000000e+02,4.698870083758175525e-02,3.989467837338429579e-01,1.253299989839182782e+00
1.510000000000000000e+02,1.104040668589614388e-01,3.585508033713595277e-01,1.394502523209069977e+00
1.520000000000000000e+02,1.322692326902019377e-01,3.268713834759974790e-01,1.529653635270630918e+00
1.530000000000000000e+02,1.149739728042568909e-01,2.972057459819538172e-01,1.682336249415446128e+00
1.540000000000000000e+02,8.657458875863253966e-02,2.677173839706888381e-01,1.867641139264765604e+00
1.550000000000000000e+02,1.056446780086945092e-01,2.450272051360096459e-01,2.040589736647651531e+00
1.560000000000000000e+02,1.263933223465324995e-01,2.284184615454828426e-01,2.188964922611737585e+00
1.570000000000000000e+02,7.628157592751461102e-02,2.071192975589672969e-01,2.414067669661002835e+00
1.580000000000000000e+02,8.803052559401426669e-02,1.904468694838738485e-01,2.625404142137067964e+00
1.590000000000000000e+02,1.035963541323369069e-01,1.782877973346586875e-01,2.804454412892122939e+00
1.600000000000000000e+02,9.439993514645715622e-02,1.665434966283104723e-01,3.002218700354858161e+00
1.610000000000000000e+02,7.427010419760893267e-02,1.536252216880122645e-01,3.254673903842549620e+00
1.620000000000000000e+02,1.186487440388108022e-01,1.487285148171240690e-01,3.361830114519719359e+00
1.630000000000000000e+02,1.053489745548705642e-01,1.426553791804085758e-01,3.504950201475942606e+00
1.640000000000000000e+02,8.980067075032312218e-02,1.352557200001966164e-01,3.696701329890323073e+00
1.650000000000000000e+02,1.181195887150908452e-01,1.328566616202818129e-01,3.763454492248586636e+00
1.660000000000000000e+02,7.487380594960543756e-02,1.247390618263871237e-01,4.008367488733434847e+00
1.670000000000000000e+02,6.652146025172687993e-02,1.165885976059346796e-01,4.288584049102144746e+00
1.680000000000000000e+02,1.115864051018833347e-01,1.158882906553674874e-01,4.314499740848856568e+00
1.690000000000000000e+02,1.192728331577301293e-01,1.163621266056982517e-01,4.296930750451882552e+00
1.700000000000000000e+02,8.576908153728152184e-02,1.120791002961199073e-01,4.461135025878768978e+00
1.710000000000000000e+02,8.701420663083224427e-02,1.085700151829796373e-01,4.605323110228175310e+00
1.720000000000000000e+02,1.179101894226663727e-01,1.098776395765357766e-01,4.550516391933617122e+00
1.730000000000000000e+02,8.723942948376162132e-02,1.067082901635473952e-01,4.685671555918201392e+00
1.740000000000000000e+02,9.129617667119413471e-02,1.045505942746179501e-01,4.782373581604656643e+00
1.750000000000000000e+02,7.133195835016156727e-02,9.989998524519405620e-02,5.005005744223107733e+00
1.760000000000000000e+02,1.046777587698147355e-01,1.005688735386409544e-01,4.971717216340183931e+00
1.770000000000000000e+02,8.756182352957986303e-02,9.874788653737238964e-02,5.063399506892420021e+00
1.780000000000000000e+02,9.498773122438396166e-02,9.822146479355400861e-02,5.090536992610738665e+00
1.790000000000000000e+02,7.331113365340755084e-02,9.473401843393350341e-02,5.277935088847673484e+00
1.800000000000000000e+02,7.915177322760054424e-02,9.255250410504688163e-02,5.402338973265392141e+00
1.810000000000000000e+02,9.850265295987731262e-02,9.338552494472314447e-02,5.354148839404827775e+00
1.820000000000000000e+02,1.403885887401253030e-01,9.996595387607944139e-02,5.001702885962693301e+00
1.830000000000000000e+02,8.470113631571458968e-02,9.782887941762835604e-02,5.110965217801545002e+00
1.840000000000000000e+02,9.222895664507116398e-02,9.704489022947034027e-02,5.152254784540539312e+00
1.850000000000000000e+02,8.535149686135096170e-02,9.540781515793361756e-02,5.240660832368118527e+00
1.860000000000000000e+02,1.010423623679670285e-01,9.619665176733829814e-02,5.197686102519477380e+00
1.870000000000000000e+02,1.036223287581309188e-01,9.723624654604925976e-02,5.142115391745498698e+00
1.880000000000000000e+02,1.041404059136046972e-01,9.820282885750701574e-02,5.091503023049401833e+00
1.890000000000000000e+02,1.114645939939588326e-01,1.000594759766102737e-01,4.997027968814059307e+00
1.900000000000000000e+02,8.226031626721884427e-02,9.756759361729547275e-02,5.124652371372688364e+00
1.910000000000000000e+02,1.042993054238276068e-01,9.851003327020997624e-02,5.075625125701820117e+00
1.920000000000000000e+02,9.505693548721767805e-02,9.802659958059105338e-02,5.100656374282704242e+00
1.930000000000000000e+02,7.674516825460883651e-02,9.504719919495353830e-02,5.260544279420988012e+00
1.940000000000000000e+02,5.705534151530585601e-02,8.972833911980285237e-02,5.572375515971754290e+00
