I,Q
-4.267932617799855555e-01,2.295137911432778254e-03
-3.542548255881365904e-01,-4.618462833087780967e-02
-5.522981126048900347e-01,-7.646489109429797926e-02
-6.080927428177573812e-01,-1.103501593528912611e-02
-6.771111655573451849e-01,1.374576536895801004e-03
-6.524468185361926853e-01,-7.387739281908928257e-02
-3.934683081662343485e-01,-3.344282203325438588e-03
-4.281687799303831587e-01,1.243134874014347330e-01
-4.378973542925436169e-01,-1.749982548383575975e-02
-2.219207003630742914e-01,-4.418207900088415296e-02
-1.323294809995431420e-01,-1.278348397787428675e-02
-2.215172803433921866e-01,3.802069620701434977e-02
-1.041752611995217237e-01,-6.186963684188592771e-02
-2.038781846520799912e-01,-6.580116949123491175e-03
-1.932966761772363928e-01,1.968417640111970457e-03
-2.178680861147442027e-01,-2.760322523306155129e-02
-3.655366728548971600e-01,1.175854279362855727e-02
-3.257184144388186042e-01,-3.154077788231142432e-02
-2.476463564081477220e-01,-9.136562508395890472e-03
-4.042099864479597460e-01,-9.816722133209766776e-02
-4.479129232122581183e-01,6.443659070043381010e-02
-5.226629564231588532e-01,3.491013614885130067e-02
-4.336665409872839660e-01,-1.242364014017763724e-01
-2.045338462556312853e-01,-1.163884140781637315e-02
-3.692020143353177963e-01,1.273988279861963946e-01
-6.123914990359323740e-01,4.332935664924248038e-03
-6.738024969287652599e-01,1.815564488749466660e-02
-6.489082298942386862e-01,-7.044380525560003936e-02
-3.657113896612721460e-01,7.483568121340830083e-03
-2.699752056512711995e-01,-1.221682152120082132e-01
-5.059457546646546344e-01,9.691467934752770463e-02
-2.242039131024835541e-01,-5.353467384114744820e-02
-1.348851049769990984e-01,-3.229900348742473920e-02
-2.155384678799331100e-01,3.832880900128923796e-02
-1.126194259701256417e-01,-5.958125334539293022e-02
-1.714078900449553799e-01,3.142453839485132017e-02
-2.386332892299213304e-01,3.260800653137876232e-02
-2.083648868347144079e-01,-2.103443736475978099e-02
-3.516279621555591373e-01,2.002647714608736529e-02
-3.271166948676240138e-01,-2.938797190352529856e-02
-2.542562523087914528e-01,-1.528571251003692927e-02
-4.755630883057055391e-01,-3.540009438372779260e-02
-4.205674039236963480e-01,2.621938357729414193e-02
-4.058610089790420372e-01,-5.693935382647761362e-02
-4.238902676999655172e-01,-1.053034542619279423e-01
-2.035239011401577536e-01,-7.095388614393677643e-03
-3.661900824121157583e-01,1.269813056069876711e-01
-4.912704824027971373e-01,5.182705862717726375e-02
-7.406037655629581495e-01,1.035370580892057274e-01
-7.442828995727872599e-01,1.033147956997673284e-01
-3.675290660618564798e-01,6.978013536829095857e-03
-2.616110807535154681e-01,-1.430174477702741975e-01
-4.981800370422689306e-01,9.437917859267551390e-02
-3.812448972714799766e-01,3.614913294274992722e-02
-2.429841767870135893e-01,2.493358838446001549e-02
-1.850638884387233729e-01,-3.307642044710058099e-02
-1.123268052571183562e-01,-5.237886211432996736e-02
-1.778999119158337361e-01,3.146040931012322045e-02
-2.265195274885730692e-01,2.733235606476796739e-02
-1.799933046239981516e-01,-1.826312527007226821e-02
-3.085387033176891225e-01,-6.416364134155975313e-03
-3.520605401142790081e-01,-1.671570766012565054e-04
-2.509214887858750020e-01,-9.813555303056303858e-03
-4.764091383641440580e-01,-2.386644913922566016e-02
-4.052740043596264052e-01,2.600974371707027652e-02
-3.928523698085482074e-01,-5.678494692953015704e-02
-5.525414122951304297e-01,5.873916975248873185e-02
-4.100431747425413165e-01,-9.862807757797641822e-03
-3.485705193291795956e-01,-6.548133186980983900e-02
-5.022873817086375148e-01,5.143581180807140635e-02
-7.405078595833901600e-01,9.158564692286826070e-02
-7.334586243805730765e-01,9.685988009840416912e-02
-5.320407392603546670e-01,3.686069510972118241e-02
-3.744878442955245079e-01,5.340475078839856428e-03
-4.349083834613032273e-01,1.159306747007153998e-01
-3.793133067682025183e-01,3.010530233096812489e-02
-2.436302228715404028e-01,2.596203287401253196e-02
-1.806670099639781368e-01,-3.357669014950785680e-02
-2.322800817671717144e-01,1.417096559424282920e-01
-1.331467407145434378e-01,-2.135118136523951604e-02
-1.942465984125914258e-01,-1.037464967162472426e-02
-1.828526079138565186e-01,-1.967174463764665565e-02
-3.169679426121927435e-01,-4.349291133178312049e-03
-3.552025778423111291e-01,6.638750435630515721e-03
-2.523165022656881362e-01,-1.087248542584680865e-02
-3.636816583174446449e-01,3.955421325473102573e-02
-4.133109228683242153e-01,-1.154524639044681583e-01
-3.931781610963072660e-01,-5.815441291396501733e-02
-5.434642987742185349e-01,4.014373660946366634e-02
-4.077211104341204040e-01,-7.118432194091015019e-03
-3.493934218381249956e-01,-6.953005319248183047e-02
-5.386375253048173439e-01,-7.998542067664807242e-02
-5.953275688914861918e-01,1.638139175539428047e-02
-6.449409287082420450e-01,2.398876812824000948e-02
-5.334220077226190515e-01,3.595009808455217754e-02
-3.706298472419614076e-01,8.359088788001773837e-03
-4.243506138385750859e-01,1.180832143344999891e-01
-4.336221486528761271e-01,-3.506809044598280245e-02
-2.175880296658692092e-01,-5.197550720683801612e-02
-1.368380700115778281e-01,-2.816603992673885615e-02
-2.239795497767836097e-01,1.469373846845005160e-01
-1.231432568482338369e-01,-1.993230263988769388e-02
-1.956840686148060560e-01,-9.314089929262011095e-04
-1.983787638205131987e-01,3.445670673570430838e-03
-2.179867999042598148e-01,-6.599812924319913184e-03
-3.453945309668832175e-01,3.483655725011908233e-02
-2.524764242812669868e-01,-2.514200260077952345e-02
-3.633668615810615732e-01,5.019027683187233385e-02
-4.066542227174712587e-01,-1.318861547041290938e-01
-4.253329009179699360e-01,8.009513078068858372e-02
-5.165874031602595284e-01,6.750190399698401122e-02
-4.286977750414952548e-01,-1.283986026158400739e-01
-3.360493104712322099e-01,-5.866338700593298067e-02
-5.165830052820626905e-01,-6.866513577752121622e-02
-5.658595515564468492e-01,1.475841566867539846e-02
-6.399126843631309791e-01,1.215553975643756356e-02
-6.469049728905705843e-01,-7.762745313864384544e-02
-3.463776471130465273e-01,4.200214163815500779e-02
-2.814105444062885986e-01,-1.504452965937908004e-01
-4.373242250456190194e-01,-1.669805069695746644e-02
-2.382186705226262691e-01,-6.759587703023874072e-02
-1.271641536224291102e-01,-5.731379894210540671e-02
-1.933689464210574804e-01,1.541175848704775045e-02
-9.482655943732906656e-02,-6.550366275904535851e-02
-1.748061581991023072e-01,2.253137792856326621e-02
2.280750718161106139e-01,-9.224033152596107510e-02
-2.363879659722014359e-01,-2.244718204536515910e-02
2.571840447899607085e-01,-9.166114662540851554e-02
-2.923900673237777026e-01,-6.966436875768419051e-03
-2.524120938533350178e-01,6.494614012953584285e-04
-4.691363036258309194e-01,-2.775540096243963445e-02
-4.577391086450303681e-01,3.834075288697280648e-02
-4.175546690499042923e-01,7.840057757974511210e-02
4.824649781202873799e-01,1.545668395230857806e-01
-1.730197591947716385e-01,-3.765118046560258364e-02
-3.423492957224694155e-01,1.875814493608005673e-01
6.226255071694551946e-01,-5.739572268407150402e-02
-6.406943423051538744e-01,-3.986459107418108966e-02
-4.640818794004185066e-01,-2.025284013915491788e-01
2.703468249576491678e-01,-2.803540277921074547e-02
-2.227873113255638415e-01,-1.035764966693019096e-01
3.489701694726666248e-01,-4.818688460158814663e-02
3.330345050905825222e-01,-1.022432834983065947e-01
-2.042679722513565110e-01,5.021078137439299871e-02
-2.249128432217374074e-01,6.107145792448695487e-02
1.185463471923012824e-01,1.104188439216345768e-01
-1.682847758063074906e-01,-2.030572035712259818e-02
-2.329968573877870819e-01,4.720366784386532261e-02
2.036837312438125047e-01,-1.014364934994102865e-02
2.964317842521378976e-01,-8.577857654208111138e-02
-2.318657063415681674e-01,2.144408247683151150e-02
-2.096429987093735570e-01,1.446700768833352434e-02
-3.057473254578758626e-01,-4.434183816230400504e-02
-4.391551919860274267e-01,-3.810389748124744236e-02
3.615056434268439367e-01,6.237259544840981218e-02
5.439824914385078536e-01,-6.738963516733872949e-02
-1.374152680853554798e-01,-4.926937407960631232e-02
5.266563568913265048e-01,-2.141837528498864440e-01
5.392487589585432950e-01,-2.095761231161746840e-01
5.680432378131758941e-01,-9.800811867995565252e-02
-5.275041366852860625e-01,5.073817293265994732e-02
-4.401811340128958805e-01,1.230823935382110712e-01
4.346390213457341223e-01,1.087224780324071161e-01
