Frequency,Power
1.683899556868537672e+01,7.687405571999934182e+02
1.692762186115214007e+01,6.529212854267029797e+02
1.701624815361890697e+01,9.986577038196269314e+02
1.710487444608567031e+01,4.080617580485409235e+03
1.719350073855243721e+01,7.288659068252701445e+02
1.728212703101920056e+01,1.846646059004432914e+02
1.737075332348596746e+01,3.273176290999276148e+02
1.745937961595273080e+01,1.074505667367577928e+02
1.754800590841949770e+01,2.559105094024430400e+02
1.763663220088626105e+01,5.090054106443340629e+02
1.772525849335302794e+01,6.952714611978325365e+02
1.781388478581979129e+01,5.655120044054340269e+02
1.790251107828655819e+01,8.608073255329850326e+02
1.799113737075332153e+01,3.306065284977637475e+03
1.807976366322008843e+01,2.558692941984033951e+03
1.816838995568685178e+01,6.850984048364438195e+02
1.825701624815361868e+01,7.939305566831653778e+02
1.834564254062038202e+01,1.055529529828605291e+03
1.843426883308714892e+01,3.337635625668099237e+02
1.852289512555391227e+01,4.404364859633575975e+02
1.861152141802067916e+01,5.513515523361385249e+02
1.870014771048744251e+01,6.153768619091562186e+02
1.878877400295420941e+01,4.055544871724085283e+02
1.887740029542097275e+01,7.356325320623935795e+02
1.896602658788773965e+01,3.668535733315609832e+03
1.905465288035450300e+01,1.247789567857818383e+03
1.914327917282126990e+01,9.431792282740424298e+02
1.923190546528803324e+01,3.203177421283889998e+02
1.932053175775480014e+01,7.489601924784965377e+02
1.940915805022156349e+01,6.024897752023188104e+02
1.949778434268833038e+01,3.686423486983589441e+02
1.958641063515509373e+01,2.314516853331604977e+02
1.967503692762186063e+01,6.089874733756424803e+02
1.976366322008862397e+01,6.976713299634039913e+02
1.985228951255539087e+01,6.344428133728127932e+02
1.994091580502215422e+01,2.940967289588733820e+03
2.002954209748892112e+01,2.354743940748128921e+02
2.011816838995568446e+01,7.896934778243785047e+01
2.020679468242245136e+01,2.107562347289572529e+02
2.029542097488921470e+01,3.356205523403584721e+02
2.038404726735598160e+01,6.924862473850751030e+02
2.047267355982274495e+01,5.687992953917040495e+02
2.056129985228951185e+01,2.622478726651516467e+02
2.064992614475627519e+01,6.886991675053102426e+02
2.073855243722304209e+01,6.773787356160426043e+02
2.082717872968980544e+01,1.964026945895320978e+03
2.091580502215657233e+01,3.188595784351217844e+03
2.100443131462333568e+01,1.327113898028167966e+02
2.109305760709010258e+01,6.968344508066577419e+02
2.118168389955686592e+01,6.197295665938578395e+02
2.127031019202363282e+01,3.429336965274659406e+02
2.135893648449039617e+01,3.139145538627698784e+02
2.144756277695716307e+01,3.459964969467836227e+01
2.153618906942392641e+01,6.990650246419439782e+02
2.162481536189069331e+01,4.662104609672285278e+02
2.171344165435745666e+01,4.684141979477345217e+02
2.180206794682422355e+01,2.210111192099403070e+03
2.189069423929098690e+01,1.558940597060741993e+03
2.197932053175775380e+01,7.008864094731982277e+02
2.206794682422451714e+01,3.336070570939905906e+02
2.215657311669128404e+01,5.336879301265233835e+02
2.224519940915804739e+01,2.702196845659842666e+02
2.233382570162481429e+01,5.475708864621981320e+02
2.242245199409157763e+01,1.063871187131023106e+02
2.251107828655834453e+01,2.425719248594438398e+02
2.259970457902510788e+01,6.110507440011175504e+02
